origin,destination,distance,name,traffic
0,1,319.0,Cách Mạng Tháng 8,2400.0
1,2,105.0,Cách Mạng Tháng 8,2400.0
2,3,39.0,Cách Mạng Tháng 8,2400.0
3,225,450.0,Cách Mạng Tháng 8,2400.0
225,4,650.0,Cách Mạng Tháng 8,2400.0
4,5,46.0,Cách Mạng Tháng 8,2400.0
5,6,105.0,Cách Mạng Tháng 8,2400.0
6,7,21.0,Cách Mạng Tháng 8,2400.0
7,8,74.0,Cách Mạng Tháng 8,2400.0
8,9,45.0,Cách Mạng Tháng 8,2400.0
9,10,17.0,Cách Mạng Tháng 8,2400.0
10,11,92.0,Cách Mạng Tháng 8,2400.0
11,12,12.0,Cách Mạng Tháng 8,2400.0
12,13,415.0,Cách Mạng Tháng 8,2400.0
13,14,36.0,Cách Mạng Tháng 8,2400.0
14,15,296.0,Cách Mạng Tháng 8,2400.0
15,16,29.0,Cách Mạng Tháng 8,2400.0
16,17,210.0,Cách Mạng Tháng 8,2400.0
17,18,17.0,Cách Mạng Tháng 8,2400.0
18,19,48.0,Cách Mạng Tháng 8,2400.0
19,20,50.0,Cách Mạng Tháng 8,2400.0
20,21,10.0,Cách Mạng Tháng 8,2400.0
21,22,409.0,Cách Mạng Tháng 8,2400.0
22,23,66.0,Cách Mạng Tháng 8,2400.0
23,24,224.0,Cách Mạng Tháng 8,2400.0
24,25,965.0,Cách Mạng Tháng 8,2400.0
25,26,54.0,Điện Biên Phủ,3600.0
26,213,100.0,Điện Biên Phủ,3600.0
213,210,450.0,Điện Biên Phủ,3600.0
210,27,160.0,Điện Biên Phủ,3600.0
27,28,132.0,Điện Biên Phủ,3600.0
28,29,19.0,Điện Biên Phủ,3600.0
29,30,41.0,Điện Biên Phủ,3600.0
30,204,290.0,Điện Biên Phủ,3600.0
204,31,280.0,Điện Biên Phủ,3600.0
0,32,599.0,Hoàng Văn Thụ,2400.0
32,33,56.0,Hoàng Văn Thụ,2400.0
33,34,55.0,Hoàng Văn Thụ,2400.0
34,35,69.0,Hoàng Văn Thụ,2400.0
35,36,165.0,Hoàng Văn Thụ,2400.0
36,37,13.0,Hoàng Văn Thụ,2400.0
37,38,202.0,Hoàng Văn Thụ,2400.0
38,39,25.0,Hoàng Văn Thụ,2400.0
39,40,51.0,Hoàng Văn Thụ,2400.0
40,220,450.0,Hoàng Văn Thụ,2400.0
220,41,230.0,Hoàng Văn Thụ,2400.0
41,42,423.0,Hoàng Văn Thụ,2400.0
42,43,25.0,Hoàng Văn Thụ,2400.0
43,44,361.0,Hoàng Văn Thụ,2400.0
44,45,34.0,Hoàng Văn Thụ,2400.0
45,46,10.0,Hoàng Văn Thụ,2400.0
46,47,44.0,Hoàng Văn Thụ,2400.0
47,48,32.0,Hoàng Văn Thụ,2400.0
48,49,167.0,Hoàng Văn Thụ,2400.0
49,50,105.0,Hoàng Văn Thụ,2400.0
50,51,115.0,Hoàng Văn Thụ,2400.0
51,52,26.0,Hoàng Văn Thụ,2400.0
52,53,52.0,Hoàng Văn Thụ,2400.0
53,54,189.0,Phan Đăng Lưu,3600.0
54,55,30.0,Phan Đăng Lưu,3600.0
55,56,33.0,Phan Đăng Lưu,3600.0
56,57,96.0,Phan Đăng Lưu,3600.0
57,58,69.0,Phan Đăng Lưu,3600.0
58,59,37.0,Phan Đăng Lưu,3600.0
59,60,30.0,Phan Đăng Lưu,3600.0
