origin,destination,distance,name,traffic
46,45,188.59067486080684,Đường Phan Đăng Lưu,1
45,44,30.390088225986226,Đường Phan Đăng Lưu,1
44,43,32.73201568582181,Hẻm 178 Phan Đăng Lưu,1
43,42,95.84722003870242,Hẻm 165 Phan Đăng Lưu,1
42,41,68.59638770463921,Đường Phan Đăng Lưu,1
41,189,355.34864710419646,Hẻm 162 Phan Đăng Lưu,1
189,190,3.960166496059745,Đường Phan Xích Long,1
190,191,818.345172835944,Đường Phan Xích Long,1
191,192,140.35155765602408,Đường Phan Xích Long,1
192,193,369.0607060634894,Đường Số 1,1
193,194,190.52255508333857,Phố Vũ Huy Tấn,1
194,195,84.62101123807821,Đường Lê Văn Duyệt,1
195,196,364.9903972830704,Duong Dinh Tien Hoang,1
196,197,47.284588702184074,Đường Hoàng Sa,1
197,198,31.24046381992865,Hẻm 30-58 Nguyễn Bỉnh Khiêm,1
198,135,49.045581745209255,Hẻm 58 Đường Nguyễn Bỉnh Khiêm Nối Dài,1
46,102,1161.1491533787455,Đường Nguyễn Kiệm,1
102,72,695.7236014351676,Đường Nguyễn Kiệm,1
72,103,120.77486306655804,Đường Đặng Văn Sâm,1
103,104,44.41389978966204,Đường Bạch Đằng,1
104,105,45.97227839100189,Đường Đặng Văn Sâm,1
105,106,16.68292922123255,Hem 54 Bach Dang,1
106,107,101.5705661723623,Đường Bạch Đằng,1
107,108,578.0597346694387,Đường Nguyễn Thái Sơn,1
108,15,36.39272056252154,Đường Bạch Đằng,1
15,16,48.60732250666216,Đường Bạch Đằng,1
17,18,39.05592498928474,Đường Xô Viết Nghệ Tĩnh,1
18,19,37.0985004240383,Đường Xô Viết Nghệ Tĩnh,1
19,20,152.72811374839063,Đường Ngã Tư Hàng Xanh,1
20,21,402.9054918881486,Đường Xô Viết Nghệ Tĩnh,1
21,22,14.242622672340024,Đường Bạch Đằng,1
22,23,75.6594432116279,Hẻm 179 Bạch Đằng,1
23,24,113.85952825444072,Hẻm 207 Bạch Đằng,1
24,25,72.30203385428052,Đường Bạch Đằng,1
25,26,50.353732353024974,Hẻm 293 Bạch Đằng,1
26,27,30.764154510529007,Đường Bạch Đằng,1
27,28,31.69451268184079,Hẻm 325 Bạch Đằng,1
28,29,100.98329626285155,Đường Bạch Đằng,1
29,30,525.1224820222594,Hẻm 377 Bạch Đằng,1
