origin,destination,distance,name,traffic
0,1,598.8863712096559,Đường Hoàng Văn Thụ,1
1,2,56.14327545749434,Đường Hoàng Văn Thụ,1
2,3,55.42407242240269,Hẻm 437 Hoàng Văn Thụ,1
3,4,68.65754117930103,Đường Hoàng Văn Thụ,1
4,5,165.21934143919313,Hẻm 324 Hoàng Văn Thụ,1
5,6,13.257703222910818,Đường Hoàng Văn Thụ,1
6,7,201.8766147706758,Hẻm 415 Hoàng Văn Thụ,1
7,8,25.258753302887992,Đường Hoàng Văn Thụ,1
8,9,50.85257928783641,Duong Lang Cha Ca,1
9,10,588.0593316143535,Đường Hoàng Văn Thụ,1
10,11,151.64639527410807,Đường Hoàng Văn Thụ,1
11,12,1026.7130670420452,Đường Phan Đình Giót,1
12,13,318.3777219746734,Đường Trường Sơn,1
13,14,47.78578507936899,Đường Trường Sơn,1
14,15,43.928904474904364,Đường Hồng Hà,1
15,16,48.60732250666216,Đường Trường Sơn,1
