origin,destination,distance,name,traffic
17,18,39.05592498928474,Đường Xô Viết Nghệ Tĩnh,1
18,19,37.0985004240383,Đường Xô Viết Nghệ Tĩnh,1
19,20,152.72811374839065,Đường Ngã Tư Hàng Xanh,1
20,21,402.9054918881486,Đường Xô Viết Nghệ Tĩnh,1
21,22,14.242622672340024,Đường Bạch Đằng,1
22,23,75.6594432116279,Hẻm 179 Bạch Đằng,1
23,24,113.85952825444073,Hẻm 207 Bạch Đằng,1
24,25,72.30203385428052,Đường Bạch Đằng,1
25,26,50.353732353024974,Hẻm 293 Bạch Đằng,1
26,27,30.764154510529007,Đường Bạch Đằng,1
27,28,31.69451268184079,Hẻm 325 Bạch Đằng,1
28,29,100.98329626285157,Đường Bạch Đằng,1
29,30,525.1224820222594,Hẻm 377 Bạch Đằng,1
30,31,837.9931596859126,Đường Bạch Đằng,1
31,32,13.294226924425443,Đường Phan Đăng Lưu,1
32,33,441.7885877822921,Hẻm 181 Phan Đăng Lưu,1
33,34,15.452222338930673,Đường Phan Đăng Lưu,1
34,35,14.242584484193195,Hẻm 58 Phan Đăng Lưu,1
35,36,9.89284395296665,Đường Phan Đăng Lưu,1
36,37,317.3608191667296,Hẻm 58 Phan Đăng Lưu,1
37,38,35.064637700380885,Đường Phan Đăng Lưu,1
38,39,27.27380754020605,Hẻm 139 Phan Đăng Lưu,1
39,40,29.614610157778863,Hẻm 126 Phan Đăng Lưu,1
40,41,36.62296847398596,Hẻm 143 Phan Đăng Lưu,1
41,42,68.59638770463921,Đường Phan Đăng Lưu,1
42,43,95.84722003870242,Hẻm 162 Phan Đăng Lưu,1
43,44,32.73201568582181,Đường Phan Đăng Lưu,1
44,45,30.390088225986226,Hẻm 165 Phan Đăng Lưu,1
45,46,188.59067486080684,Hẻm 178 Phan Đăng Lưu,1
46,47,52.44010827365964,Đường Phan Đăng Lưu,1
47,48,26.237730782885453,Đường Hoàng Văn Thụ,1
48,49,115.22470613506248,Hẻm 23 Hoàng Văn Thụ,1
49,50,105.33305896329738,Đường Hoàng Văn Thụ,1
50,51,166.5582068557183,Hẻm 73 Hoàng Văn Thụ,1
51,52,31.753379648777454,Đường Hoàng Văn Thụ,1
52,53,43.81737735573188,Hẻm 129 Hoàng Văn Thụ,1
53,54,9.892986094321946,Hẻm 170 Hoàng Văn Thụ,1
54,55,33.9328643907659,Đường Hoàng Văn Thụ,1
55,56,360.79569594923197,Hẻm 159 Hoàng Văn Thụ,1
56,57,25.220086047836677,Đường Hoàng Văn Thụ,1
57,58,422.525355447835,Hẻm 211 Hoàng Văn Thụ,1
58,11,209.86032915704567,Đường Hoàng Văn Thụ,1
11,59,298.52974662931734,Đường Phan Đình Giót,1
59,60,297.68468566100444,Đường Phan Thúc Duyện,1
60,61,55.09962485063007,Đường Trần Quốc Hoàn,1
61,7,41.11212841599147,Đường Hoàng Văn Thụ,1
7,6,201.8766147706758,Duong Lang Cha Ca,1
6,5,13.257703222910818,Đường Hoàng Văn Thụ,1
5,4,165.21934143919313,Hẻm 415 Hoàng Văn Thụ,1
4,3,68.65754117930103,Đường Hoàng Văn Thụ,1
3,2,55.42407242240269,Hẻm 324 Hoàng Văn Thụ,1
2,1,56.14327545749434,Đường Hoàng Văn Thụ,1
1,62,223.63955213330328,Hẻm 437 Hoàng Văn Thụ,1
62,63,174.60687551761796,Đường Hoàng Văn Thụ,1
63,64,438.7049071060357,Đường Xuân Diệu,1
64,65,45.73273176632818,Đường Xuân Hồng,1
65,66,14.707600818684517,Hẻm 51 Trường Chinh,1
66,0,150.54926657880873,Hẻm 47 Trường Chinh,1
