origin,destination,distance,name,traffic
46,45,188.59067486080684,Đường Phan Đăng Lưu,1
45,44,30.390088225986226,Đường Phan Đăng Lưu,1
44,43,32.73201568582181,Hẻm 178 Phan Đăng Lưu,1
43,42,95.84722003870242,Hẻm 165 Phan Đăng Lưu,1
42,41,68.59638770463921,Đường Phan Đăng Lưu,1
41,189,355.34864710419646,Hẻm 162 Phan Đăng Lưu,1
189,190,3.9601664960597445,Đường Phan Xích Long,1
190,191,818.345172835944,Đường Phan Xích Long,1
191,192,140.35155765602408,Đường Phan Xích Long,1
192,193,369.0607060634894,Đường Số 1,1
193,194,190.52255508333855,Phố Vũ Huy Tấn,1
194,195,84.62101123807821,Đường Lê Văn Duyệt,1
195,196,364.99039728307037,Duong Dinh Tien Hoang,1
196,197,47.284588702184074,Đường Hoàng Sa,1
197,198,31.24046381992865,Hẻm 30-58 Nguyễn Bỉnh Khiêm,1
198,135,49.045581745209255,Hẻm 58 Đường Nguyễn Bỉnh Khiêm Nối Dài,1
