origin,destination,distance,name,traffic
67,68,125.9803069139549,Đường Trường Sơn,1
68,13,100.73672069539934,Đường Trường Sơn,1
13,14,47.78578507936899,Đường Trường Sơn,1
14,69,478.7021283637194,Đường Hồng Hà,1
69,70,107.86469420795952,Đường Hồng Hà,1
70,71,103.90844929907618,Đường Phạm Văn Đồng,1
71,72,180.42108457421034,Đường Phạm Văn Đồng,1
72,73,366.60711550192366,Đường Phạm Văn Đồng,1
73,74,114.69610357596108,Đường Đặng Văn Sâm,1
74,75,378.6960031876132,Đường Hoàng Minh Giám,1
75,76,93.26569414444566,Hem 29 Duong Bui Van Them,1
76,77,61.15720965459545,Duong Bui Van Them,1
77,78,98.27981069526317,Đường Nguyễn Kiệm,1
78,79,31.604376125579808,Đường Thích Quảng Đức,1
79,80,22.097791180269535,Hẻm 235 Thích Quảng Đức,1
80,81,17.145152547819468,Đường Thích Quảng Đức,1
81,82,47.239769945261656,Hẻm 223 Thích Quảng Đức,1
82,83,8.845225996574534,Hẻm 205 Thích Quảng Đức,1
83,84,29.627499667348808,Đường Thích Quảng Đức,1
84,85,7.92020097884607,Hẻm 120 Thích Quảng Đức,1
85,86,50.85195146699509,Hẻm 108 Thích Quảng Đức,1
86,87,20.44567447194003,Đường Thích Quảng Đức,1
87,88,10.910568935029506,Hẻm 167 Đường Thích Quảng Đức,1
88,89,47.06271280562103,Đường Thích Quảng Đức,1
89,90,39.162755319846056,Hẻm 100 Thích Quảng Đức,1
90,91,60.29196164179812,Đường Thích Quảng Đức,1
91,92,32.11988885477041,Hẻm 131 Thích Quảng Đức,1
92,93,62.69295019503083,Đường Thích Quảng Đức,1
93,94,30.573359838001622,Hẻm 86 Thích Quảng Đức,1
94,95,70.13198031033131,Hẻm 68 Thích Quảng Đức,1
95,96,6.234630656332336,Hẻm 38 Thích Quảng Đức,1
96,97,21.8489837729523,Đường Thích Quảng Đức,1
97,98,14.027923449708911,Hẻm 4 Đường Thích Quảng Đức,1
98,99,12.469267022066125,Hẻm 1 Đường Thích Quảng Đức,1
99,100,15.031940830874122,Đường Thích Quảng Đức,1
100,101,109.36891483782554,Hẻm 20 Đường Thích Quảng Đức,1
101,36,221.897963219186,Đường Thích Quảng Đức,1
36,35,9.89284395296665,Đường Phan Đăng Lưu,1
35,34,14.242584484193195,Hẻm 58 Phan Đăng Lưu,1
34,33,15.452222338930673,Đường Phan Đăng Lưu,1
33,32,441.7885877822921,Hẻm 58 Phan Đăng Lưu,1
32,31,13.294226924425443,Đường Phan Đăng Lưu,1
31,30,837.9931596859126,Hẻm 181 Phan Đăng Lưu,1
30,29,525.1224820222594,Đường Phan Đăng Lưu,1
29,28,100.98329626285157,Đường Bạch Đằng,1
28,27,31.69451268184079,Hẻm 377 Bạch Đằng,1
27,26,30.764154510529007,Đường Bạch Đằng,1
26,25,50.353732353024974,Hẻm 325 Bạch Đằng,1
25,24,72.30203385428052,Đường Bạch Đằng,1
24,23,113.85952825444073,Hẻm 293 Bạch Đằng,1
23,22,75.6594432116279,Đường Bạch Đằng,1
22,21,14.242622672340024,Hẻm 207 Bạch Đằng,1
21,20,402.9054918881486,Hẻm 179 Bạch Đằng,1
20,19,152.72811374839065,Đường Bạch Đằng,1
19,18,37.0985004240383,Đường Xô Viết Nghệ Tĩnh,1
18,17,39.05592498928474,Đường Ngã Tư Hàng Xanh,1
